Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,0.1uF,
C2,0805,1,10uF,
D1,0805,1,RED,
D2,0805,1,GREEN,
"J1, J2, J3, J4, J5, J7, J9",PinSocket_1x01_P2.54mm_Vertical,7,Conn_01x01_Female,
J6,CONN-SMD_BC-4-3PD,1,Conn_01x03_MountingPin,
J8,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
"R1, R2, R4",0603,3,1k,
R3,0805,1,10k,
R5,0805,1,100,
"R6, R7",0603,2,5.1k,
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,TP4056,
U2,SOT-23-6_Handsoldering,1,DW01,
U3,SOT-23-6_Handsoldering,1,FS8205A,
