Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",160.000000,-82.200000,90.000000,top
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",161.500000,-79.000000,0.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",164.750000,-78.000000,-90.000000,top
"D1","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",151.097500,-78.722000,180.000000,top
"D2","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",151.097500,-76.290000,180.000000,top
"J2","Conn_01x01_Female","PinSocket_1x01_P2.54mm_Vertical",147.320000,-91.440000,0.000000,top
"J3","Conn_01x01_Female","PinSocket_1x01_P2.54mm_Vertical",147.320000,-76.200000,0.000000,top
"J4","Conn_01x01_Female","PinSocket_1x01_P2.54mm_Vertical",175.260000,-78.740000,90.000000,top
"J5","Conn_01x01_Female","PinSocket_1x01_P2.54mm_Vertical",172.705000,-78.765000,90.000000,top
"J6","Conn_01x03_MountingPin","CONN-SMD_BC-4-3PD",175.700000,-89.630000,0.000000,top
"J7","Conn_01x01_Female","PinSocket_1x01_P2.54mm_Vertical",177.800000,-78.740000,90.000000,top
"J8","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",141.150000,-83.920000,-90.000000,top
"R1","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",155.000000,-78.000000,0.000000,top
"R2","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",156.750000,-75.750000,0.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.000000,-88.800000,0.000000,top
"R4","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",168.020000,-84.170000,90.000000,top
"R5","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.500000,-77.000000,0.000000,top
"R6","5.1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",147.290000,-88.010000,-90.000000,top
"R7","5.1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",148.820000,-86.067500,-90.000000,top
"R8","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.470000,-84.620000,90.000000,top
"R9","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.480000,-88.360000,90.000000,top
"R10","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",147.280000,-84.640000,90.000000,top
"U1","TP4056","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",156.050000,-83.430000,90.000000,top
"U2","DW01","SOT-23-6_Handsoldering",167.730000,-79.860000,90.000000,top
"U3","FS8205A","SOT-23-6_Handsoldering",164.640000,-84.270000,0.000000,top
